iter	Logloss
0	0.5515922295
1	0.4593195653
2	0.38275398
3	0.3277502584
4	0.284200312
5	0.2424836211
6	0.2085644649
7	0.1835184202
8	0.1605554727
9	0.1419880207
10	0.1286785943
11	0.1161826941
12	0.1071858563
13	0.09664350028
14	0.08762796633
15	0.08222797415
16	0.07735821965
17	0.07217406703
18	0.06744221279
19	0.06380422823
20	0.05900914328
21	0.05636370837
22	0.05340183174
23	0.05098441407
24	0.04854990362
25	0.04629902263
26	0.0433945027
27	0.04218670562
28	0.04075986474
29	0.03918853697
30	0.03790237877
31	0.03639362147
32	0.03488014557
33	0.03424437491
34	0.03310338481
35	0.03157996083
36	0.03006951364
37	0.02883073262
